iter	Logloss
0	0.6880169904
1	0.6832917955
2	0.6785378915
3	0.6736024079
4	0.6685160884
5	0.6645180596
6	0.6605000249
7	0.6562530518
8	0.6522256357
9	0.6480598732
10	0.6441493282
11	0.6406523528
12	0.636976341
13	0.6338459156
14	0.6300912928
15	0.6279707167
16	0.624444241
17	0.621903144
18	0.6192640516
19	0.6170723244
20	0.6138043439
21	0.6106480351
22	0.6083776403
23	0.6057560108
24	0.6028467249
25	0.5996992323
26	0.596768358
27	0.5940368652
28	0.5919312089
29	0.5893810696
30	0.5868223967
31	0.5841068974
32	0.5817730939
33	0.5800527502
34	0.5778041698
35	0.5747970016
36	0.572845459
37	0.5709733751
38	0.5684458415
39	0.5664057979
40	0.5646084256
41	0.5624762076
42	0.5609428123
43	0.5588647348
44	0.5574846056
45	0.5557287146
46	0.5543509024
47	0.5528249105
48	0.5513828419
49	0.5490229289
50	0.5477507415
51	0.5458800704
52	0.5435977512
53	0.542287982
54	0.5404475459
55	0.5390188712
56	0.5374659786
57	0.5359640616
58	0.5345425076
59	0.5328858552
60	0.5315557409
61	0.5302300347
62	0.5289466575
63	0.5280298869
64	0.5269187645
65	0.5259574608
66	0.5250526711
67	0.5239178693
68	0.5228153935
69	0.5214912132
70	0.5202826606
71	0.518218542
72	0.5171242043
73	0.5161494502
74	0.5152531942
75	0.5140360514
76	0.5127331769
77	0.5117866799
78	0.5106469048
79	0.5093864723
80	0.5084871645
81	0.5075677942
82	0.5065767641
83	0.5053974293
84	0.5046402543
85	0.5035485727
86	0.5028550325
87	0.5013508549
88	0.5002111929
89	0.4988123011
90	0.4977291531
91	0.4968418828
92	0.4958437319
93	0.4949188798
94	0.4936043068
95	0.4930242468
96	0.4922861735
97	0.491289379
98	0.4903518112
99	0.489446965
100	0.4886778655
101	0.4869834617
102	0.486307893
103	0.4856598466
104	0.48488843
105	0.4841378106
106	0.4836618494
107	0.4822376958
108	0.4814771299
109	0.4810150146
110	0.4800268668
111	0.4793683087
112	0.4784953365
113	0.4776935719
114	0.4770642316
115	0.4762473777
116	0.4747600414
117	0.4742038303
118	0.4733389395
119	0.4726670442
120	0.4717325564
121	0.4693874783
122	0.4687733403
123	0.467878271
124	0.4672662806
125	0.4670327928
126	0.4665135136
127	0.4651571486
128	0.4646818938
129	0.4640806975
130	0.4634874415
131	0.4627729063
132	0.4623375787
133	0.4619410197
134	0.4613012808
135	0.4608740065
136	0.4603522407
137	0.4594087954
138	0.4589402658
139	0.4582813404
140	0.4576669198
141	0.456844895
142	0.4563610218
143	0.4557358918
144	0.4549360487
145	0.4541367707
146	0.4535132514
147	0.4530348601
148	0.4524917603
149	0.4518214473
150	0.4513416714
151	0.4509748106
152	0.4504178648
153	0.4499711778
154	0.449535822
155	0.4487726565
156	0.4481771964
157	0.4476926168
158	0.4472026966
159	0.4466872604
160	0.4461681225
161	0.4456617002
162	0.4451252407
163	0.4447342202
164	0.4443313599
165	0.4437365779
166	0.4433026914
167	0.4429304335
168	0.4425315857
169	0.4418806853
170	0.4413664641
171	0.4408955044
172	0.4404373734
173	0.4400219387
174	0.4396480984
175	0.4387848183
176	0.4383511579
177	0.437773754
178	0.4372255113
179	0.4369556003
180	0.436553729
181	0.4362635577
182	0.4357462848
183	0.4351779231
184	0.4348262646
185	0.4341892101
186	0.4338126854
187	0.4331849275
188	0.4319849933
189	0.4314529702
190	0.4310734502
191	0.430620688
192	0.4301748205
193	0.4298318368
194	0.4294600875
195	0.4290075231
196	0.4286207976
197	0.4281937493
198	0.42765972
199	0.4268470199
200	0.4263736301
201	0.4260071648
202	0.4257181803
203	0.4253053171
204	0.4250449852
205	0.4247382835
206	0.4242411861
207	0.4239022714
208	0.4234026308
209	0.4230028223
210	0.4225734004
211	0.4221008866
212	0.4218907957
213	0.4216303225
214	0.4210428591
215	0.4205810829
216	0.4202533298
217	0.41970034
218	0.4193819964
219	0.4188717312
220	0.4184595179
221	0.4181706181
