iter	Passed	Remaining
0	8	8690
1	19	9501
2	29	9777
3	39	9776
4	43	8697
5	50	8319
6	54	7726
7	64	7966
8	69	7598
9	73	7281
10	78	7068
11	85	7028
12	89	6810
13	94	6638
14	98	6469
15	103	6348
16	106	6178
17	110	6044
18	114	5902
19	118	5802
20	122	5695
21	125	5566
22	129	5503
23	132	5393
24	137	5368
25	141	5284
26	145	5242
27	149	5185
28	153	5129
29	157	5105
30	162	5072
31	166	5046
32	169	4979
33	173	4929
34	176	4871
35	179	4818
36	185	4840
37	189	4798
38	192	4754
39	196	4719
40	199	4676
41	202	4627
42	206	4592
43	211	4588
44	216	4587
45	220	4570
46	223	4539
47	229	4553
48	237	4605
49	242	4599
50	249	4641
51	255	4666
52	261	4666
53	267	4689
54	273	4707
55	280	4734
56	286	4741
57	291	4732
58	294	4699
59	298	4678
60	301	4648
61	306	4631
62	312	4648
63	317	4638
64	322	4637
65	326	4623
66	330	4602
67	333	4573
68	336	4545
69	340	4525
70	344	4504
71	347	4474
72	350	4451
73	353	4427
74	356	4394
75	358	4362
76	361	4336
77	364	4309
78	367	4280
79	369	4254
80	372	4229
81	375	4199
82	377	4171
83	380	4149
84	383	4123
85	385	4100
86	388	4080
87	391	4057
88	394	4041
89	398	4028
90	401	4012
91	406	4008
92	409	3992
93	412	3978
94	417	3976
95	420	3960
96	423	3944
97	428	3940
98	433	3945
99	437	3938
100	439	3916
101	442	3894
102	444	3872
103	446	3850
104	449	3835
105	452	3817
106	454	3795
107	457	3776
108	459	3756
109	461	3737
110	464	3723
111	467	3705
112	469	3685
113	471	3667
114	474	3653
115	477	3638
116	480	3625
117	483	3615
118	486	3600
119	489	3587
120	491	3571
121	494	3559
122	498	3555
123	501	3544
124	504	3530
125	506	3515
126	509	3499
127	511	3485
128	514	3470
129	516	3456
130	518	3440
131	521	3426
132	523	3411
133	525	3396
134	528	3383
135	530	3370
136	533	3358
137	536	3351
138	539	3343
139	542	3333
140	545	3322
141	547	3310
142	550	3297
143	552	3285
144	555	3273
145	557	3260
146	559	3247
147	562	3240
148	565	3228
149	567	3216
150	569	3204
151	572	3191
152	574	3180
153	576	3168
154	579	3157
155	581	3145
156	583	3134
157	585	3122
158	588	3114
159	592	3108
160	594	3098
161	597	3088
162	600	3081
163	602	3070
164	604	3058
165	606	3047
166	608	3037
167	611	3026
168	615	3027
169	618	3021
170	622	3018
171	624	3007
172	627	2998
173	629	2988
174	631	2977
175	633	2967
176	636	2957
177	638	2947
178	640	2937
179	643	2932
180	647	2929
181	650	2923
182	654	2919
183	657	2916
184	662	2916
185	666	2918
186	671	2917
187	677	2927
188	682	2926
189	685	2922
190	689	2921
191	692	2914
192	695	2908
193	700	2908
194	702	2900
195	704	2890
196	707	2882
197	710	2876
198	713	2869
199	716	2866
200	719	2858
201	721	2849
202	723	2842
203	726	2834
204	728	2825
205	731	2819
206	733	2811
207	736	2803
208	738	2796
209	741	2790
210	743	2782
211	746	2774
212	749	2767
213	751	2761
214	754	2754
215	757	2747
216	759	2742
217	763	2739
218	766	2734
219	770	2731
220	775	2734
221	778	2728
222	780	2721
223	783	2713
224	785	2706
225	788	2701
226	791	2693
227	795	2692
228	798	2687
229	800	2681
230	803	2674
231	806	2669
232	811	2669
233	813	2664
234	816	2658
235	819	2651
236	822	2648
237	825	2642
238	828	2637
239	831	2631
240	833	2626
241	836	2619
242	839	2614
243	841	2606
244	844	2601
245	846	2594
246	849	2588
247	851	2582
248	854	2575
249	856	2569
250	859	2564
251	862	2560
252	864	2553
253	867	2547
254	870	2543
255	873	2538
256	876	2533
257	878	2526
258	880	2520
259	883	2514
260	886	2510
261	889	2504
262	891	2497
263	893	2491
264	897	2489
265	900	2484
266	902	2478
267	905	2474
268	908	2469
269	912	2466
270	914	2461
271	917	2455
272	920	2451
273	922	2445
274	925	2439
275	927	2433
276	929	2427
277	932	2420
278	934	2415
279	936	2408
280	939	2402
281	941	2396
282	942	2387
283	944	2382
284	947	2377
285	950	2372
286	952	2366
287	955	2361
288	958	2358
289	961	2353
290	964	2349
291	967	2345
292	970	2341
293	972	2336
294	975	2330
295	977	2324
296	979	2319
297	981	2313
298	984	2307
299	986	2302
300	989	2297
301	991	2291
302	993	2286
303	996	2280
304	998	2275
305	1001	2270
306	1003	2265
307	1006	2260
308	1009	2256
309	1012	2252
310	1014	2247
311	1017	2243
312	1020	2240
313	1023	2236
314	1026	2231
315	1029	2229
316	1033	2226
317	1036	2222
318	1038	2217
319	1040	2211
320	1043	2206
321	1046	2202
322	1048	2197
323	1050	2192
324	1054	2189
325	1057	2186
326	1060	2182
327	1063	2178
328	1065	2174
329	1068	2170
330	1071	2166
331	1074	2160
332	1076	2157
333	1079	2152
334	1082	2149
335	1084	2143
336	1087	2139
337	1090	2135
338	1093	2132
339	1096	2128
340	1098	2123
341	1101	2118
342	1103	2114
343	1107	2112
344	1110	2107
345	1112	2102
346	1114	2097
347	1116	2092
348	1118	2087
349	1121	2083
350	1123	2078
351	1126	2073
352	1128	2068
353	1130	2063
354	1133	2058
355	1137	2057
356	1140	2053
357	1142	2049
358	1145	2044
359	1147	2039
360	1150	2036
361	1153	2033
362	1156	2029
363	1159	2026
364	1162	2021
365	1164	2017
366	1167	2014
367	1170	2010
368	1173	2006
369	1176	2003
370	1179	1999
371	1182	1995
372	1184	1991
373	1187	1987
374	1189	1983
375	1192	1978
376	1194	1974
377	1197	1969
378	1198	1964
379	1201	1959
380	1204	1956
381	1207	1952
382	1209	1948
383	1211	1943
384	1214	1939
385	1216	1935
386	1219	1931
387	1221	1927
388	1223	1922
389	1226	1917
390	1228	1914
391	1232	1911
392	1235	1907
393	1237	1903
394	1240	1899
395	1242	1894
396	1245	1891
397	1274	1927
398	1277	1924
399	1281	1921
400	1284	1918
401	1288	1916
402	1291	1912
403	1294	1909
404	1296	1905
405	1299	1901
406	1302	1898
407	1305	1894
408	1308	1890
409	1312	1888
410	1315	1884
411	1317	1880
412	1320	1876
413	1322	1871
414	1324	1867
415	1327	1863
416	1329	1859
417	1332	1855
418	1334	1850
419	1336	1846
420	1339	1841
421	1342	1839
422	1345	1834
423	1348	1831
424	1351	1827
425	1354	1824
426	1356	1820
427	1359	1816
428	1362	1813
429	1365	1809
430	1367	1805
431	1370	1802
432	1372	1797
433	1375	1793
434	1378	1790
435	1384	1790
436	1390	1791
437	1394	1789
438	1397	1785
439	1400	1782
440	1403	1779
441	1406	1775
442	1410	1773
443	1412	1769
444	1415	1765
445	1418	1761
446	1420	1757
447	1423	1753
448	1425	1749
449	1427	1745
450	1429	1740
451	1432	1736
452	1434	1732
453	1436	1727
454	1439	1724
455	1442	1720
456	1444	1716
457	1447	1712
458	1450	1709
459	1453	1705
460	1455	1702
461	1458	1698
462	1461	1694
463	1464	1691
464	1466	1687
465	1468	1683
466	1471	1679
467	1473	1674
468	1476	1671
469	1478	1667
470	1480	1663
471	1483	1659
472	1485	1654
