loanamount,totaldue,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,systemloanid,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,firstduedate_days,firstrepaiddate_days
30000.0,34500.0,30,Yes,Good,45,Other,3.4320102,6.4330553,Diamond Bank,Permanent,301682320.0,2.0,10000.0,13000.0,30,17,30,17
20000.0,22250.0,15,Yes,Good,33,Other,11.1393496,10.2920413,EcoBank,Permanent,301861541.0,5.0,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,40,Savings,3.9857698,7.4917081,First Bank,Permanent,301941754.0,2.0,10000.0,11500.0,15,27,16,27
40000.0,44000.0,30,Yes,Good,31,Other,7.4579127,9.0765736,GT Bank,Permanent,301832407.0,5.0,20000.0,23800.0,30,29,30,29
10000.0,13000.0,30,Yes,Good,28,Savings,3.2594445,6.5570112,GT Bank,Permanent,301936857.0,2.0,10000.0,13000.0,30,27,30,27
30000.0,34500.0,30,Yes,Good,30,Savings,6.1780556,5.4257996,First Bank,Undisclosed,301811291.0,3.0,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,30,Savings,3.3965242,6.6279429,GT Bank,Permanent,301905582.0,1.0,10000.0,11500.0,15,26,17,26
10000.0,11500.0,15,Yes,Good,33,Savings,3.2858723,6.5824439,Access Bank,Unemployed,301954751.0,1.0,10000.0,11500.0,15,12,15,12
10000.0,13000.0,30,Yes,Good,34,Savings,7.1233193,4.8834997,EcoBank,Permanent,301944316.0,1.0,10000.0,11500.0,15,13,15,13
10000.0,13000.0,30,Yes,Bad,29,Savings,3.8210848,7.3326277,GT Bank,Permanent,301916835.0,2.0,10000.0,13000.0,30,37,30,37
10000.0,11500.0,15,Yes,Good,52,Savings,3.1727935,6.6832653,First Bank,Undisclosed,301957201.0,1.0,10000.0,13000.0,30,28,31,28
40000.0,44000.0,30,Yes,Good,40,Other,3.3022556,6.636865,UBA,Permanent,301817710.0,5.0,20000.0,21900.0,15,10,15,10
40000.0,44000.0,30,Yes,Good,38,Other,3.3526543,6.456209,First Bank,Self-Employed,301769628.0,3.0,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,33,Savings,3.70037,7.3943183,Access Bank,Permanent,301927361.0,2.0,10000.0,13000.0,30,30,30,30
10000.0,11500.0,15,Yes,Good,36,Other,3.3718018,6.5169394,UBA,Permanent,301893833.0,2.0,10000.0,13000.0,30,36,30,36
10000.0,11500.0,15,Yes,Bad,35,Savings,3.3661119,6.5975949,GT Bank,Undisclosed,301889878.0,1.0,10000.0,11500.0,15,14,15,14
40000.0,44000.0,30,Yes,Good,41,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,301760203.0,7.0,30000.0,34400.0,30,28,30,28
30000.0,34500.0,30,Yes,Good,31,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,301821269.0,4.0,20000.0,21900.0,15,12,16,12
10000.0,13000.0,30,Yes,Good,39,Savings,3.345346,6.5617308,GT Bank,Permanent,301914007.0,1.0,10000.0,13000.0,30,16,30,16
10000.0,11500.0,15,Yes,Bad,24,Savings,3.5246642,6.6592427,First Bank,Permanent,301980492.0,1.0,10000.0,11500.0,15,9,15,9
25000.0,28750.0,30,Yes,Good,34,Savings,7.1694297,9.2174068,GT Bank,Undisclosed,301841389.0,2.0,10000.0,11500.0,15,16,16,16
10000.0,13000.0,30,Yes,Good,35,Savings,3.8701435,7.3979258,GT Bank,Permanent,301877130.0,1.0,10000.0,13000.0,30,30,30,30
10000.0,13000.0,30,Yes,Good,29,Savings,3.9809867,7.4239296,GT Bank,Permanent,301990473.0,1.0,10000.0,13000.0,30,5,31,5
10000.0,13000.0,30,Yes,Good,30,Savings,3.35763,6.668355,GT Bank,Permanent,301932629.0,2.0,10000.0,13000.0,30,18,31,18
20000.0,24500.0,30,Yes,Good,25,Savings,6.8004083,6.1594433,Union Bank,Permanent,301924078.0,2.0,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,33,Savings,3.2205031,6.5319046,GT Bank,Permanent,301945239.0,1.0,10000.0,11500.0,15,10,16,10
20000.0,22250.0,15,Yes,Good,31,Savings,3.479829,6.4489694,GT Bank,Permanent,301930222.0,4.0,20000.0,24500.0,30,21,30,21
10000.0,13000.0,30,Yes,Good,26,Savings,3.259777,6.5532982,UBA,Permanent,301940917.0,1.0,10000.0,13000.0,30,7,31,7
20000.0,24500.0,30,Yes,Good,41,Savings,7.4401471,8.9494179,First Bank,Undisclosed,301915330.0,3.0,10000.0,13000.0,30,30,30,30
20000.0,24500.0,30,Yes,Good,32,Other,3.4085368,6.4281638,First Bank,Permanent,301920437.0,8.0,20000.0,24500.0,30,31,31,31
20000.0,24500.0,30,Yes,Good,35,Savings,3.2934205,6.6400639,FCMB,Permanent,301916890.0,2.0,10000.0,13000.0,30,30,30,30
20000.0,22250.0,15,Yes,Good,24,Other,5.6140915,6.3906691,UBA,Student,301918988.0,3.0,20000.0,24500.0,30,25,31,25
