loanamount,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,bank_name_clients,employment_status_clients,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,record_time,behind
Large,30,Yes,Good,Adults,Other,Diamond Bank,Permanent,2.0,10000.0,13000.0,30,17,Yes,0
Medium,15,Yes,Good,Young_adults,Other,EcoBank,Permanent,5.0,10000.0,11500.0,15,15,Yes,0
Small,15,Yes,Good,Adults,Savings,First Bank,Permanent,2.0,10000.0,11500.0,15,27,No,12
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,5.0,20000.0,23800.0,30,29,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,27,Yes,0
Large,30,Yes,Good,Young_adults,Savings,First Bank,Undisclosed,3.0,10000.0,11500.0,15,15,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,26,No,11
Small,15,Yes,Good,Young_adults,Savings,Access Bank,Unemployed,1.0,10000.0,11500.0,15,12,Yes,0
Small,30,Yes,Good,Young_adults,Savings,EcoBank,Permanent,1.0,10000.0,11500.0,15,13,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,37,No,7
Small,15,Yes,Good,Adults,Savings,First Bank,Undisclosed,1.0,10000.0,13000.0,30,28,Yes,0
Large,30,Yes,Good,Adults,Other,UBA,Permanent,5.0,20000.0,21900.0,15,10,Yes,0
Large,30,Yes,Good,Young_adults,Other,First Bank,Self-Employed,3.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Small,15,Yes,Good,Young_adults,Other,UBA,Permanent,2.0,10000.0,13000.0,30,36,No,6
Small,15,Yes,Bad,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,11500.0,15,14,Yes,0
Large,30,Yes,Good,Adults,Savings,Diamond Bank,Permanent,7.0,30000.0,34400.0,30,28,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,4.0,20000.0,21900.0,15,12,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,16,Yes,0
Small,15,Yes,Bad,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,11500.0,15,9,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Undisclosed,2.0,10000.0,11500.0,15,16,No,1
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,5,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,18,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Union Bank,Permanent,2.0,10000.0,11500.0,15,15,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,10,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,20000.0,24500.0,30,21,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,7,Yes,0
Medium,30,Yes,Good,Adults,Savings,First Bank,Undisclosed,3.0,10000.0,13000.0,30,30,Yes,0
Medium,30,Yes,Good,Young_adults,Other,First Bank,Permanent,8.0,20000.0,24500.0,30,31,No,1
Medium,30,Yes,Good,Young_adults,Savings,FCMB,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Medium,15,Yes,Good,Young_adults,Other,UBA,Student,3.0,20000.0,24500.0,30,25,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,5.0,30000.0,34500.0,30,33,No,3
Small,15,Yes,Good,Adults,Savings,GT Bank,Undisclosed,2.0,10000.0,11500.0,15,14,Yes,0
Small,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,14,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Large,30,Yes,Good,Young_adults,Other,GT Bank,Permanent,6.0,20000.0,24500.0,30,10,Yes,0
Medium,15,Yes,Good,Adults,Savings,GT Bank,Permanent,6.0,20000.0,23800.0,30,29,Yes,0
Medium,30,Yes,Good,Adults,Savings,Access Bank,Permanent,3.0,10000.0,13000.0,30,13,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,GT Bank,Undisclosed,1.0,10000.0,11500.0,15,8,Yes,0
Medium,30,Yes,Good,Young_adults,Current,UBA,Permanent,2.0,10000.0,13000.0,30,11,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Access Bank,Undisclosed,1.0,10000.0,11500.0,15,14,Yes,0
Small,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,8,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,11500.0,15,14,Yes,0
Large,60,Yes,Good,Adults,Savings,GT Bank,Self-Employed,3.0,10000.0,11500.0,15,18,No,3
Large,30,Yes,Good,Adults,Other,GT Bank,Unemployed,15.0,40000.0,44000.0,30,32,No,2
Medium,15,Yes,Bad,Young_adults,Savings,Zenith Bank,Student,1.0,10000.0,11500.0,15,8,Yes,0
Large,30,Yes,Good,Adults,Savings,First Bank,Permanent,11.0,30000.0,34500.0,30,31,No,1
Large,30,Yes,Bad,Young_adults,Other,GT Bank,Self-Employed,2.0,10000.0,11500.0,15,16,No,1
Large,60,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,11.0,40000.0,48000.0,60,34,Yes,0
Large,60,Yes,Good,Young_adults,Savings,UBA,Permanent,3.0,10000.0,11500.0,15,0,Yes,0
Large,60,Yes,Good,Young_adults,Savings,Fidelity Bank,Permanent,4.0,20000.0,24500.0,30,18,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Unemployed,5.0,20000.0,24500.0,30,134,No,104
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,5.0,20000.0,22250.0,15,7,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Student,1.0,10000.0,11500.0,15,11,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,20000.0,24000.0,30,24,Yes,0
Small,30,Yes,Good,Young_adults,Savings,UBA,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Small,30,Yes,Good,Young_adults,Other,Diamond Bank,Permanent,1.0,10000.0,11500.0,15,11,Yes,0
Large,30,Yes,Good,Young_adults,Savings,First Bank,Permanent,7.0,30000.0,34500.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Other,Diamond Bank,Self-Employed,6.0,20000.0,24500.0,30,28,Yes,0
Large,30,Yes,Bad,Young_adults,Other,UBA,Self-Employed,3.0,20000.0,24500.0,30,27,Yes,0
Medium,30,Yes,Good,Adults,Savings,Diamond Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Medium,15,Yes,Good,Adults,Savings,Wema Bank,Permanent,5.0,10000.0,11450.0,15,20,No,5
,30,Yes,Good,Young_adults,Other,Access Bank,Permanent,7.0,30000.0,34400.0,30,23,Yes,0
Large,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,5.0,20000.0,23800.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Sterling Bank,Permanent,1.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Zenith Bank,Undisclosed,1.0,10000.0,13000.0,30,26,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,24,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Skye Bank,Permanent,2.0,10000.0,13000.0,30,30,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Access Bank,Student,7.0,30000.0,36800.0,60,54,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,15,Yes,Good,Adults,Savings,Diamond Bank,Permanent,1.0,10000.0,11500.0,15,7,Yes,0
Small,30,Yes,Good,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,22,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Unemployed,1.0,10000.0,13000.0,30,23,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,29,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,UBA,Permanent,2.0,10000.0,11500.0,15,15,Yes,0
Small,30,Yes,Good,Adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,28,Yes,0
Large,60,Yes,Good,Young_adults,Savings,Stanbic IBTC,Permanent,7.0,40000.0,47600.0,60,60,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,GT Bank,Permanent,3.0,10000.0,13000.0,30,29,Yes,0
Small,15,Yes,Good,Young_adults,Savings,Access Bank,Undisclosed,1.0,10000.0,11500.0,15,0,Yes,0
Small,15,Yes,Good,Adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,30,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,1.0,10000.0,13000.0,30,54,No,24
Medium,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,11500.0,15,14,Yes,0
Medium,30,Yes,Good,Young_adults,Savings,Diamond Bank,Permanent,2.0,10000.0,13000.0,30,25,Yes,0
Large,30,Yes,Bad,Young_adults,Savings,Stanbic IBTC,Permanent,7.0,30000.0,34400.0,30,29,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Sterling Bank,Permanent,1.0,10000.0,13000.0,30,33,No,3
Small,30,Yes,Bad,Young_adults,Savings,First Bank,Permanent,1.0,10000.0,13000.0,30,32,No,2
Medium,30,Yes,Bad,Young_adults,Savings,Stanbic IBTC,Undisclosed,2.0,10000.0,13000.0,30,21,Yes,0
Small,30,Yes,Bad,Young_adults,Savings,Access Bank,Permanent,1.0,10000.0,13000.0,30,37,No,7
Small,15,Yes,Good,Adults,Other,Sterling Bank,Permanent,1.0,5000.0,5750.0,15,20,No,5
,30,Yes,Good,Adults,Other,GT Bank,Self-Employed,12.0,40000.0,47600.0,60,30,Yes,0
Large,30,Yes,Good,Young_adults,Savings,Zenith Bank,Permanent,5.0,20000.0,24500.0,30,22,Yes,0
Medium,15,Yes,Bad,Young_adults,Savings,Skye Bank,Permanent,1.0,10000.0,11500.0,15,7,Yes,0
Small,30,Yes,Good,Young_adults,Savings,GT Bank,Permanent,2.0,10000.0,13000.0,30,25,Yes,0
Small,30,Yes,Good,Adults,Other,Access Bank,Permanent,2.0,10000.0,13000.0,30,27,Yes,0
Large,60,Yes,Good,Young_adults,Savings,GT Bank,Permanent,4.0,10000.0,12250.0,30,7,Yes,0
Medium,15,Yes,Good,Young_adults,Savings,Diamond Bank,Undisclosed,1.0,10000.0,11500.0,15,18,No,3
