loanamount,termdays,good_bad_flag,age_as_at_2017,bank_account_type,employment_status_clients,loannumber_trainprevloans,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,record_time,behind,firstduedate_days
30000.0,30,Good,Adults,Other,Permanent,2.0,Amt_Small,Due_Medium,30,17,Yes,0,30
20000.0,15,Good,Young_adults,Other,Permanent,5.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,15,Good,Adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,27,No,12,16
40000.0,30,Good,Young_adults,Other,Permanent,5.0,Amt_Medium,Due_Medium,30,29,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,27,Yes,0,30
30000.0,30,Good,Young_adults,Savings,Undisclosed,3.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,26,No,11,17
10000.0,15,Good,Young_adults,Savings,Unemployed,1.0,Amt_Small,Due_Small,15,12,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,13,Yes,0,15
10000.0,30,Bad,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,37,No,7,30
10000.0,15,Good,Adults,Savings,Undisclosed,1.0,Amt_Small,Due_Medium,30,28,Yes,0,31
40000.0,30,Good,Adults,Other,Permanent,5.0,Amt_Medium,Due_Medium,15,10,Yes,0,15
40000.0,30,Good,Young_adults,Other,Self-Employed,3.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,30,Yes,0,30
10000.0,15,Good,Young_adults,Other,Permanent,2.0,Amt_Small,Due_Medium,30,36,No,6,30
10000.0,15,Bad,Young_adults,Savings,Undisclosed,1.0,Amt_Small,Due_Small,15,14,Yes,0,15
40000.0,30,Good,Adults,Savings,Permanent,7.0,Amt_Large,Due_Large,30,28,Yes,0,30
30000.0,30,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Medium,15,12,Yes,0,16
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,16,Yes,0,30
10000.0,15,Bad,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,9,Yes,0,15
25000.0,30,Good,Young_adults,Savings,Undisclosed,2.0,Amt_Small,Due_Small,15,16,No,1,16
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,30,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,5,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,18,Yes,0,31
20000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Small,15,15,Yes,0,15
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,10,Yes,0,16
20000.0,15,Good,Young_adults,Savings,Permanent,4.0,Amt_Medium,Due_Large,30,21,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,7,Yes,0,31
20000.0,30,Good,Adults,Savings,Undisclosed,3.0,Amt_Small,Due_Medium,30,30,Yes,0,30
20000.0,30,Good,Young_adults,Other,Permanent,8.0,Amt_Medium,Due_Large,30,31,No,1,31
20000.0,30,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,30,Yes,0,30
20000.0,15,Good,Young_adults,Other,Student,3.0,Amt_Medium,Due_Large,30,25,Yes,0,31
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Medium,30,24,Yes,0,30
10000.0,15,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,14,Yes,0,15
40000.0,30,Good,Young_adults,Other,Permanent,5.0,Amt_Large,Due_Large,30,33,No,3,32
10000.0,15,Good,Adults,Savings,Undisclosed,2.0,Amt_Small,Due_Small,15,14,Yes,0,15
10000.0,15,Good,Young_adults,Savings,Permanent,2.0,Amt_Small,Due_Medium,30,14,Yes,0,30
10000.0,30,Good,Young_adults,Savings,Permanent,1.0,Amt_Small,Due_Small,15,15,Yes,0,15
30000.0,30,Good,Young_adults,Other,Permanent,6.0,Amt_Medium,Due_Large,30,10,Yes,0,30
