loanamount,totaldue,termdays,referred,good_bad_flag,age_as_at_2017,bank_account_type,bank_name_clients,employment_status_clients,loanamount_trainprevloans,totaldue_trainprevloans,termdays_trainprevloans,closeddate_days,firstduedate_days,firstrepaiddate_days
30000.0,34500.0,30,Yes,Good,45,Other,Diamond Bank,Permanent,10000.0,13000.0,30,17,30,17
20000.0,22250.0,15,Yes,Good,33,Other,EcoBank,Permanent,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,40,Savings,First Bank,Permanent,10000.0,11500.0,15,27,16,27
40000.0,44000.0,30,Yes,Good,31,Other,GT Bank,Permanent,20000.0,23800.0,30,29,30,29
10000.0,13000.0,30,Yes,Good,28,Savings,GT Bank,Permanent,10000.0,13000.0,30,27,30,27
30000.0,34500.0,30,Yes,Good,30,Savings,First Bank,Undisclosed,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,30,Savings,GT Bank,Permanent,10000.0,11500.0,15,26,17,26
10000.0,11500.0,15,Yes,Good,33,Savings,Access Bank,Unemployed,10000.0,11500.0,15,12,15,12
10000.0,13000.0,30,Yes,Good,34,Savings,EcoBank,Permanent,10000.0,11500.0,15,13,15,13
10000.0,13000.0,30,Yes,Bad,29,Savings,GT Bank,Permanent,10000.0,13000.0,30,37,30,37
10000.0,11500.0,15,Yes,Good,52,Savings,First Bank,Undisclosed,10000.0,13000.0,30,28,31,28
40000.0,44000.0,30,Yes,Good,40,Other,UBA,Permanent,20000.0,21900.0,15,10,15,10
40000.0,44000.0,30,Yes,Good,38,Other,First Bank,Self-Employed,10000.0,11500.0,15,15,15,15
10000.0,13000.0,30,Yes,Good,33,Savings,Access Bank,Permanent,10000.0,13000.0,30,30,30,30
10000.0,11500.0,15,Yes,Good,36,Other,UBA,Permanent,10000.0,13000.0,30,36,30,36
10000.0,11500.0,15,Yes,Bad,35,Savings,GT Bank,Undisclosed,10000.0,11500.0,15,14,15,14
40000.0,44000.0,30,Yes,Good,41,Savings,Diamond Bank,Permanent,30000.0,34400.0,30,28,30,28
30000.0,34500.0,30,Yes,Good,31,Savings,Diamond Bank,Permanent,20000.0,21900.0,15,12,16,12
10000.0,13000.0,30,Yes,Good,39,Savings,GT Bank,Permanent,10000.0,13000.0,30,16,30,16
10000.0,11500.0,15,Yes,Bad,24,Savings,First Bank,Permanent,10000.0,11500.0,15,9,15,9
25000.0,28750.0,30,Yes,Good,34,Savings,GT Bank,Undisclosed,10000.0,11500.0,15,16,16,16
10000.0,13000.0,30,Yes,Good,35,Savings,GT Bank,Permanent,10000.0,13000.0,30,30,30,30
10000.0,13000.0,30,Yes,Good,29,Savings,GT Bank,Permanent,10000.0,13000.0,30,5,31,5
10000.0,13000.0,30,Yes,Good,30,Savings,GT Bank,Permanent,10000.0,13000.0,30,18,31,18
20000.0,24500.0,30,Yes,Good,25,Savings,Union Bank,Permanent,10000.0,11500.0,15,15,15,15
10000.0,11500.0,15,Yes,Good,33,Savings,GT Bank,Permanent,10000.0,11500.0,15,10,16,10
20000.0,22250.0,15,Yes,Good,31,Savings,GT Bank,Permanent,20000.0,24500.0,30,21,30,21
10000.0,13000.0,30,Yes,Good,26,Savings,UBA,Permanent,10000.0,13000.0,30,7,31,7
20000.0,24500.0,30,Yes,Good,41,Savings,First Bank,Undisclosed,10000.0,13000.0,30,30,30,30
20000.0,24500.0,30,Yes,Good,32,Other,First Bank,Permanent,20000.0,24500.0,30,31,31,31
20000.0,24500.0,30,Yes,Good,35,Savings,FCMB,Permanent,10000.0,13000.0,30,30,30,30
20000.0,22250.0,15,Yes,Good,24,Other,UBA,Student,20000.0,24500.0,30,25,31,25
10000.0,13000.0,30,Yes,Good,29,Savings,UBA,Permanent,10000.0,13000.0,30,24,30,24
10000.0,11500.0,15,Yes,Good,36,Savings,GT Bank,Permanent,10000.0,11500.0,15,14,15,14
40000.0,44000.0,30,Yes,Good,29,Other,GT Bank,Permanent,30000.0,34500.0,30,33,32,33
10000.0,11500.0,15,Yes,Good,41,Savings,GT Bank,Undisclosed,10000.0,11500.0,15,14,15,14
10000.0,11500.0,15,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,13000.0,30,14,30,14
10000.0,13000.0,30,Yes,Good,31,Savings,GT Bank,Permanent,10000.0,11500.0,15,15,15,15
30000.0,34500.0,30,Yes,Good,29,Other,GT Bank,Permanent,20000.0,24500.0,30,10,30,10
20000.0,22250.0,15,Yes,Good,43,Savings,GT Bank,Permanent,20000.0,23800.0,30,29,30,29
20000.0,24500.0,30,Yes,Good,55,Savings,Access Bank,Permanent,10000.0,13000.0,30,13,32,13
10000.0,13000.0,30,Yes,Good,31,Savings,Zenith Bank,Permanent,10000.0,11500.0,15,14,15,14
